课程名称,授课老师,课程内容,考勤与平时作业,考核方式,课程成绩
羽毛球,张雨纯,初级主要是一些基本动作，高级会教一些步伐、技巧类的,非常好，能学到很多东西，给分也好,有几个简单的考试，再加上体测的部分项目成绩,
羽毛球,张雨纯,初级主要是一些基本动作，高级会教一些步伐、技巧类的,非常好，能学到很多东西，给分也好,有几个简单的考试，再加上体测的部分项目成绩,
计算机原理与编程基础,张勇,以ppt为主，编程练习也在ppt上，但是考试之前要看书。老师上课讲很细但会不注意重点。课上讲的例题代码很重要，考试会出原题,避雷,平时作业20分，上机考试30分（通常讲不完，会改成大作业或者直接用平时作业算），期末50分,
英国历史文化要览,张影,纯英文…讲英国历史…,其实内容很好…但是公选课…不至于哈不至于,平时分+期中+期末（开卷但是是纯英文教材）,
大学生心理健康,张晔,一些心理知识,课堂比较轻松，平时作业会要求参加心协的一些活动，但比较容易完成，论文也比较好写,平时的三次作业以及结课论文,
世界英语概览,张妍岩,不同地区英语变体包括语法语音词汇之类的,事挺多的 给分还行85+,最后一次课签到 有期中和期末测试 ?一篇全英2000字论文,
世界英语概览,张妍岩,各个国家的英语变体有什么区别，主要是发音区别,有点硬核，事多，给分不咋地,不考勤，但上课的人很少，老师一眼就知道你去没去。平时有两次小测验，有难度；期末是论文，要用英文写,
世界英语概览（核心通识）,张岩妍,不同地区的英语变体，包括语音词汇语法什么的,给分还行85+（只知道我自己）但是给我卡绩了,平时不点名，倒数第二节课点名。没有什么平时作业，期中有一次小测关于英式英语和美式英语区别的考试，期末论文结课+一次考试，论文是关于某一种英语变体，考试是听音频辨认英语口音,
心理咨询与治疗,章星波,心理咨询和治疗相关知识,很水。。。。。。。。。,有签到，结课写论文。。。。。,
普通物理1,张翔,力学方面的知识，英文ppt,老师第一次教，讲的不太好,点了一次名，期末考试不简单,
色彩视觉与感知,张霞,讲一些色彩成像原理和色彩视觉现象还有配色之类的东西，ppt老师会发,还可以选，就是在信部，晚上去有点远,点名好像两三次，平时作业有一个色彩视觉现象举例word文档，还有自己根据兴趣做一个色彩搭配的ppt，期末考试开卷，提前给四道题目，还有一道开放性题目。,
色彩视觉与感知,张霞,色彩 配色原理 搭配 色彩机制,老师人很好 内容也还可以 给分也不错,学习通签到 两次平时作业 提交ppt 最后回答两道题,
色彩视觉与感知,张霞,关于色彩视觉的一些原理，以及一些很有趣的实验（不需要自己动手,课上很有趣，老师很温柔，会积极回复消息,点三次名左右（网上定位点名,
色彩视觉与感知,张霞,色彩视觉原理、色彩对人的心理作用、色彩搭配及应用等,给分很不错，知识也挺有趣的。,有三次签到，两次平时作业，一次自愿报名的课堂展示（加分项）。期末考核是四道大题，开卷。前三题内容在考前公开可以事先准备，考前基本把讲课的ppt过一遍，再查阅点相关资料，四道题就都能写出来。,
自然地理,张文老师,自然地理学的相关基础知识,不推荐跨院同学选课，期末需要背的知识较多,平时会进行较少次数的签到，期末闭卷考试，需要背一些东西，给分尚可,
普通心理学,张文娟,心理学的入门课，用的是心理学与生活这本书，总体来说课不水，要高分得好好学,老师人很好的！最后得了93分，老师很会捞人，当然也不能什么都不会。,专业必修，最后是考试，平时会有一些作业，60%是考试分数。,
心理学与生活,张文娟,讲授心理学基础知识，教材津巴多《心理学与生活》,老师可爱，可以学到心理学不少有趣的知识，作为心理学入门和导引，但是上课略微无聊，对心理学本身有兴趣的同学可以参加,少量出勤分，mooc看视频或者文章发表讨论百分之二三十，期末考试考核一些心理学基础知识,
心理学与生活,张文娟,从心理学角度科学地重新思考身边的人和事,好...............,（新生来混.................,
羽毛球初级,张葳,羽毛球。主要是教发球和打高远球。,老师很耐心，让我会了一点点羽毛球,每节课点名，考试考发球和高远球。,
人权与工商业,张万洪,人权有关的内容，应该很有趣,喜欢喜欢喜欢喜欢喜欢,不知道没上过所以想问问,
商务沟通与谈判,张三保,沟通表达和个人观点输出、自信建立,会培养一些社牛 老师很严谨负责,手写笔记、小组讨论、每日感悟,
模拟电路基础（上）,张荣,用的北航的教材，错误很多，基本上老师自己讲,老师讲挺好的，但是不太会捞，考多少是多少,期末70%，平时一个星期3道课后题左右，只点过一次名,
微机原理,张荣,好自为之 太痛苦太痛苦太痛了,好自为之 太痛苦太痛苦太痛了,好自为之 太痛苦太痛苦太痛了,
金融工程学,张培,老师的ppt 清楚易懂,老师特别好！讲的很细！跟着老师认真学收获很大！,平时分占比百分之60！上课积极回答问题，每节课都有学习通签到，有几次课后作业，紧跟上课内容，可以很好的巩固上课内容，考试题型类似作业题！,
马原,张萌,老师特别特别特别特别特别好！,无脑冲，老师真的是小仙女，给分也蛮好,老师签到之前会说，点名也是象征性的,
马原,张萌,马克思基本原理，包括马克思政治经济哲学知识,张萌yyds！同志们快冲就对了,几乎不签到，签到前的课回通知，一学期唯一一次签到的范围还是一公里，平时没有作业，就一次教学案例分享，最后给分也特别高,
中国精神导引,张萌,奖了n个中国精神，好像一共有十个还是几个来着，每个班从里面挑一些，都不一样,张萌老师特别特别好。又温柔又可爱又漂亮，会认真给你讲清楚，这些没逻辑的事也被她慢条斯理的讲给你,无，期末画重点，开卷,
管理学,张琳,管理理论和相关知识,老师上课比较自由，人很好，期末大部分需要自学,两次小作业（小作文），期末有一次小组作业（pre，两人一组），闭卷考试，不考勤,
定向越野,张力,"每学期内容就i是在学校导出跑,henjiandan","认准张力没错,不过每次课都要讲十多分钟废话","低级课程期末就是个人环山跑,和团队校园跑, z最后一名分也很高",
体育旅游,张力,体育旅游相关的内容，老师也会推荐一些旅游方式和装备,了解了一些有趣的体育活动，也见识了一些同学的旅游经历，还一起在912操场上面玩了游戏，可惜没有能在操场上露营  ?，老师真的很有意思！！,无签到 平时会有一些加分任务 比如去磨山这样的，期末就是写一个影评还有一个课程学习心得，给分很好！！,
体育旅游,张力,讲授体育旅游相关的知识，看视频,老师给分超好，老师讲的也很好,论文结课，平时会有一点小作业，给分好,
生物无机化学,张静,铜、铁等金属配合物相关的研究,课堂内容听懂的话难度较大,一次签到，几次课堂作业，期中期末各一次综述撰写,
比较文学,张晶,武大版比较文学,较好,论文结课,
中日跨文化交流,张慧霞,中日跨文化交际 新闻 影视作品赏析,快逃 快逃快逃快逃快逃,考试 小测 作业 提问 课堂成绩,
海商法,张辉,教材 海商法武大出版社第二版,还行,平时作业30 期末开卷考70,
信息社会的计算文化,张华,讲解计算机前沿知识和python数据处理。因为是社会类，所以对计算机方向的同学很友好（不是科学类胜似科学类）不过课程正在逐步完善，可能会减少python的比例，向讲解前沿知识靠近,老师人很好，也很好说话，上课最好积极互动，不互动也没关系，但是互动了会让老师记住你,平时一般时间扫码签到，结课论文3000字，围绕科技前沿的思考，或者一篇近期项目报告,
信息社会的计算文化,张华,python的基础知识和应用,用来了解下python,微助教签到 期末可以交论文也可以最后一节课做分享,
信息社会的计算文化,张华,一些有关信息社会和算法的科普,给分好 上课也比较有趣 会组织讨论,一般都会在微助教上面点名 有一次pre 期末交3000论文不查重,
英国社会与文化,张红梅,BBC 精听，课本内容,老师人好事少捞人,平时事情少，我知道的事最少的快班,
汽轮机原理,张恒良,汽轮机原理，。。。。。。。。。,无。。。。。。。。。。。。。。。。。,不签到，不点名，给分低。。。。,
初级宏观经济学,张芬,使用曼昆教材，知识不硬核，但老师讲不清楚，语速很快，板书混乱，卷子难度大，给分很不合理。,避雷，避开张芬。,期末考试60%，平时没有考勤，两次平时作业。,
